time,price,atr,atr_pct,adx,signal,reason,confidence,entry,sl,tp,prob_short,prob_hold,prob_long
2026-05-01 14:30,78226.9,281.2,1.000,51.2,NO_TRADE,low_confidence,0.000,,,,0.477,0.257,0.266
2026-05-01 14:45,78121.8,262.4,0.979,48.0,NO_TRADE,low_confidence,0.000,,,,0.470,0.263,0.267
2026-05-01 15:00,78295.0,261.9,0.969,47.4,NO_TRADE,low_confidence,0.000,,,,0.448,0.261,0.291
2026-05-01 15:15,78435.1,263.8,0.958,46.5,NO_TRADE,direction_blocked,0.000,,,,0.491,0.280,0.229
2026-05-01 15:30,78510.4,258.1,0.938,46.4,NO_TRADE,direction_blocked,0.000,,,,0.486,0.278,0.236
2026-05-01 15:45,78633.0,254.3,0.927,46.4,NO_TRADE,direction_blocked,0.000,,,,0.502,0.285,0.213
2026-05-01 16:00,78427.5,271.0,0.927,42.8,NO_TRADE,direction_blocked,0.000,,,,0.489,0.290,0.221
2026-05-01 16:15,78326.0,270.3,0.917,41.0,NO_TRADE,low_confidence,0.000,,,,0.434,0.268,0.299
2026-05-01 16:30,78297.0,271.1,0.906,37.8,NO_TRADE,low_confidence,0.000,,,,0.451,0.269,0.280
2026-05-01 16:45,78231.2,266.5,0.896,35.6,NO_TRADE,low_confidence,0.000,,,,0.425,0.269,0.306
2026-05-01 17:00,78175.5,259.9,0.885,33.4,NO_TRADE,low_confidence,0.000,,,,0.455,0.284,0.260
2026-05-01 17:15,78310.2,256.6,0.865,31.1,NO_TRADE,low_confidence,0.000,,,,0.460,0.288,0.253
2026-05-01 17:30,78223.4,249.5,0.844,29.2,NO_TRADE,low_confidence,0.000,,,,0.430,0.282,0.288
2026-05-01 17:45,78411.7,256.2,0.844,29.1,NO_TRADE,low_confidence,0.000,,,,0.436,0.274,0.291
2026-05-01 18:00,78529.9,250.5,0.823,28.5,NO_TRADE,low_confidence,0.000,,,,0.462,0.294,0.244
2026-05-01 18:15,78488.0,260.7,0.844,28.6,NO_TRADE,low_confidence,0.000,,,,0.447,0.280,0.272
2026-05-01 18:30,78554.3,235.5,0.802,27.5,NO_TRADE,low_confidence,0.000,,,,0.462,0.291,0.247
2026-05-01 18:45,78398.5,230.2,0.792,26.2,NO_TRADE,low_confidence,0.000,,,,0.429,0.275,0.295
2026-05-01 19:00,78412.1,225.0,0.781,24.9,NO_TRADE,low_confidence,0.000,,,,0.445,0.291,0.264
2026-05-01 19:15,78453.9,233.5,0.781,25.1,NO_TRADE,low_confidence,0.000,,,,0.446,0.287,0.267
2026-05-01 19:30,78376.0,211.7,0.750,22.7,NO_TRADE,low_confidence,0.000,,,,0.423,0.274,0.303
2026-05-01 19:45,78300.4,203.7,0.729,21.2,NO_TRADE,choppy,0.000,,,,0.439,0.295,0.266
2026-05-01 20:00,78316.9,213.4,0.740,21.5,NO_TRADE,choppy,0.000,,,,0.420,0.278,0.302
2026-05-01 20:15,78257.8,208.9,0.729,20.2,NO_TRADE,choppy,0.000,,,,0.421,0.277,0.302
2026-05-01 20:30,78112.2,194.2,0.688,19.2,NO_TRADE,choppy,0.000,,,,0.429,0.298,0.273
2026-05-01 20:45,77955.9,196.3,0.677,20.2,NO_TRADE,choppy,0.000,,,,0.399,0.289,0.313
2026-05-01 21:00,77837.2,201.1,0.677,21.9,NO_TRADE,choppy,0.000,,,,0.414,0.277,0.309
2026-05-01 21:15,77920.9,195.5,0.656,22.7,NO_TRADE,low_confidence,0.000,,,,0.418,0.277,0.305
2026-05-01 21:30,77983.1,205.6,0.677,22.1,NO_TRADE,low_confidence,0.000,,,,0.426,0.291,0.284
2026-05-01 21:45,78086.9,188.8,0.635,20.9,NO_TRADE,choppy,0.000,,,,0.424,0.293,0.283
2026-05-01 22:00,78179.1,182.2,0.625,20.0,NO_TRADE,choppy,0.000,,,,0.438,0.304,0.258
2026-05-01 22:15,78230.0,189.4,0.625,19.4,NO_TRADE,choppy,0.000,,,,0.436,0.294,0.270
